year, #tAvg, #tMax, #tMin, #prcp
1870,      0,      0,      0,    275
1871,      0,      0,      0,    334
1872,      0,    306,    306,    366
1873,      0,    334,    334,    334
1874,      0,    365,    365,    365
1875,      0,    365,    365,    365
1876,      0,    366,    366,    366
1877,      0,    365,    365,    365
1878,      0,    365,    365,    365
1879,      0,    359,    304,    365
1880,      0,    366,    366,      0
1881,      0,    352,    365,     99
1882,      0,    364,    364,    365
1883,      0,    242,    242,    242
1884,      0,    184,    184,    184
1885,      0,    365,    365,    365
1886,      0,    365,    365,    365
1887,      0,    365,    365,    275
1888,      0,    365,    365,    367
1889,      0,    365,    365,    730
1890,      0,    355,    354,    702
1891,      0,    365,    365,    729
1892,      0,    305,    305,    701
1893,      0,   5529,   5513,   4978
1894,      0,   7068,   7109,   6881
1895,      0,   7353,   7336,   7399
1896,      0,   8739,   8672,   8794
1897,      0,   8748,   8539,   9326
1898,      0,   8775,   8678,   9261
1899,      0,   9171,   9161,   9739
1900,      0,  11282,  11266,  11895
1901,      0,  14070,  14000,  14876
1902,      0,  13713,  13671,  14163
1903,      0,  15516,  15340,  15812
1904,      0,  18064,  18021,  18594
1905,      0,  17299,  17236,  18985
1906,      0,  16691,  16696,  18134
1907,      0,  18689,  18675,  20100
1908,      0,  17967,  17988,  19663
1909,      0,  17646,  17601,  19311
1910,      0,  19975,  19924,  21539
1911,      0,  20394,  20418,  21939
1912,      0,  21594,  21550,  23813
1913,      0,  21540,  21476,  23562
1914,      0,  23612,  23510,  26706
1915,      0,  25412,  25248,  28553
1916,      0,  25209,  25037,  28440
1917,      0,  25411,  25311,  28770
1918,      0,  25765,  25609,  29442
1919,      0,  24091,  24108,  27674
1920,      0,  23677,  23431,  27750
1921,      0,  23040,  22731,  26712
1922,      0,  22910,  22880,  27478
1923,      0,  24358,  24262,  29806
1924,      0,  24606,  24543,  29923
1925,      0,  23925,  23937,  28964
1926,      0,  25346,  25201,  30215
1927,      0,  26336,  26222,  31202
1928,      0,  25958,  25900,  31611
1929,      0,  26361,  26483,  32170
1930,      0,  26965,  26720,  32568
1931,      0,  26878,  26873,  32483
1932,      0,  26234,  26300,  32695
1933,      0,  25876,  26268,  32318
1934,      0,  25933,  25735,  32413
1935,      0,  27388,  27775,  34812
1936,      0,  29342,  29377,  37636
1937,      0,  32064,  31944,  40054
1938,      0,  33551,  33487,  43299
1939,      0,  33168,  33175,  43948
1940,      0,  34040,  33880,  46269
1941,     17,  36212,  35622,  52369
1942,    365,  38139,  38061,  59952
1943,    365,  38804,  38612,  59591
1944,    324,  40157,  40071,  61570
1945,    365,  41333,  41211,  63972
1946,    365,  41459,  41269,  64781
1947,    730,  39140,  38788,  49461
1948,      0,  44515,  44303,  82109
1949,      0,  46140,  45597,  88375
1950,      0,  45748,  45668,  90035
1951,      0,  46156,  45842,  88209
1952,      0,  46394,  46015,  82400
1953,      0,  47938,  47604,  84216
1954,      0,  48496,  48038,  83996
1955,      0,  48045,  47982,  82553
1956,      0,  48098,  47870,  83185
1957,      0,  47484,  47453,  80757
1958,      0,  46969,  46841,  78672
1959,      0,  49510,  49538,  79048
1960,      0,  52922,  52820,  80784
1961,      0,  53404,  53253,  80248
1962,      0,  53485,  53430,  80309
1963,      0,  54234,  54211,  80791
1964,      0,  54544,  54529,  80580
1965,      0,  53300,  53262,  79523
1966,      0,  52698,  52514,  78499
1967,      0,  51908,  51872,  78373
1968,      0,  52078,  52054,  78050
1969,      0,  52308,  52300,  78598
1970,      0,  51935,  51930,  77381
1971,      0,  51310,  51209,  76016
1972,      0,  51185,  51184,  76156
1973,      0,  50081,  50011,  73918
1974,      0,  50646,  50509,  74277
1975,      0,  47617,  47494,  71747
1976,      0,  45664,  45318,  68223
1977,      0,  44867,  44481,  67687
1978,      0,  43540,  43311,  66817
1979,      0,  40489,  40298,  63135
1980,      0,  39505,  39233,  63734
1981,      0,  39414,  39151,  64491
1982,      0,  40098,  40132,  64374
1983,      0,  40188,  40173,  65266
1984,      0,  40337,  40347,  67508
1985,      0,  40879,  40903,  68507
1986,      0,  41295,  41298,  68977
1987,      0,  41699,  41681,  69269
1988,      0,  42494,  42460,  70441
1989,      0,  42405,  42395,  72463
1990,      0,  42202,  42229,  72313
1991,      0,  42450,  42422,  72976
1992,    270,  42297,  42248,  73163
1993,    348,  42803,  42719,  74873
1994,    361,  42568,  42608,  74815
1995,    360,  42594,  42578,  72625
1996,    366,  42479,  42411,  72980
1997,    363,  41852,  41809,  70199
1998,   4407,  42223,  42200,  75186
1999,   6421,  42641,  42591,  75766
2000,   6459,  42769,  42714,  75853
2001,   6389,  43826,  43806,  75443
2002,   6443,  44174,  44160,  74068
2003,   6549,  43511,  43500,  73472
2004,   6602,  43463,  43428,  74364
2005,   4443,  41588,  41577,  71724
2006,   1063,  40298,  40283,  73515
2007,   1077,  39384,  39390,  81367
2008,   1087,  36810,  36804,  85902
2009,   1095,  57543,  57561, 109817
2010,   1082,  59679,  59680, 115425
2011,   1095,  54099,  54110, 112174
2012,   1098,  51452,  51450, 123610
2013,   2192,  48967,  48940, 128405
2014,   2555,  47708,  47549, 120442
2015,   2543,  46004,  46012, 118647
2016,   2549,  46116,  46040, 119942
2017,   2438,  44320,  44340, 119279
2018,   2234,  37730,  37738, 106051
